[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
406,100,2,0.5,50,100,100,1.5,22
402,100,2,0.5,50,100,100,1.5,29
398,100,1,2,50,100,100,1.5,76
407,100,2,0.5,50,100,100,1.5,23
409,100,2,0.5,50,100,100,1.5,28
399,100,1,2,50,100,100,1.5,220
405,100,2,0.5,50,100,100,1.5,24
404,100,2,0.5,50,100,100,1.5,35
410,100,2,0.5,50,100,100,1.5,21
403,100,2,0.5,50,100,100,1.5,30
412,100,2,0.5,50,100,100,1.5,27
411,100,2,0.5,50,100,100,1.5,32
414,100,2,0.5,50,100,100,1.5,24
417,100,2,0.5,50,100,100,1.5,20
415,100,2,0.5,50,100,100,1.5,31
423,100,2,0.5,50,100,100,1.5,22
416,100,2,0.5,50,100,100,1.5,28
420,100,2,0.5,50,100,100,1.5,26
422,100,2,0.5,50,100,100,1.5,23
424,100,2,0.5,50,100,100,1.5,18
419,100,2,0.5,50,100,100,1.5,43
395,100,1,2,50,100,100,1.5,178
413,100,2,0.5,50,100,100,1.5,19
421,100,2,0.5,50,100,100,1.5,45
428,100,2,0.5,50,100,100,1.5,34
429,100,2,0.5,50,100,100,1.5,23
430,100,2,0.5,50,100,100,1.5,22
427,100,2,0.5,50,100,100,1.5,29
431,100,2,0.5,50,100,100,1.5,26
432,100,2,0.5,50,100,100,1.5,29
433,100,2,0.5,50,100,100,1.5,29
437,100,2,0.5,50,100,100,1.5,21
426,100,2,0.5,50,100,100,1.5,32
435,100,2,0.5,50,100,100,1.5,21
436,100,2,0.5,50,100,100,1.5,39
434,100,2,0.5,50,100,100,1.5,24
439,100,2,0.5,50,100,100,1.5,26
440,100,2,0.5,50,100,100,1.5,24
444,100,2,0.5,50,100,100,1.5,19
441,100,2,0.5,50,100,100,1.5,27
445,100,2,0.5,50,100,100,1.5,21
442,100,2,0.5,50,100,100,1.5,34
438,100,2,0.5,50,100,100,1.5,32
446,100,2,0.5,50,100,100,1.5,25
425,100,2,0.5,50,100,100,1.5,21
453,100,2,0.5,50,100,100,1.5,22
418,100,2,0.5,50,100,100,1.5,42
452,100,2,0.5,50,100,100,1.5,23
447,100,2,0.5,50,100,100,1.5,20
450,100,2,0.5,50,100,100,1.5,24
454,100,2,0.5,50,100,100,1.5,23
448,100,2,0.5,50,100,100,1.5,22
455,100,2,0.5,50,100,100,1.5,25
457,100,2,0.5,50,100,100,1.5,21
451,100,2,0.5,50,100,100,1.5,29
449,100,2,0.5,50,100,100,1.5,26
456,100,2,0.5,50,100,100,1.5,25
461,100,2,0.5,50,100,100,1.5,22
459,100,2,0.5,50,100,100,1.5,28
458,100,2,0.5,50,100,100,1.5,21
463,100,2,0.5,50,100,100,1.5,27
460,100,2,0.5,50,100,100,1.5,29
469,100,2,0.5,50,100,100,1.5,20
465,100,2,0.5,50,100,100,1.5,31
466,100,2,0.5,50,100,100,1.5,28
443,100,2,0.5,50,100,100,1.5,26
468,100,2,0.5,50,100,100,1.5,22
462,100,2,0.5,50,100,100,1.5,30
472,100,2,0.5,50,100,100,1.5,21
473,100,2,0.5,50,100,100,1.5,21
474,100,2,0.5,50,100,100,1.5,17
476,100,2,0.5,50,100,100,1.5,20
471,100,2,0.5,50,100,100,1.5,22
475,100,2,0.5,50,100,100,1.5,22
478,100,2,0.5,50,100,100,1.5,20
484,100,2,0.5,50,100,100,1.5,20
480,100,2,0.5,50,100,100,1.5,26
485,100,2,0.5,50,100,100,1.5,20
479,100,2,0.5,50,100,100,1.5,26
482,100,2,0.5,50,100,100,1.5,26
477,100,2,0.5,50,100,100,1.5,25
481,100,2,0.5,50,100,100,1.5,23
464,100,2,0.5,50,100,100,1.5,21
470,100,2,0.5,50,100,100,1.5,30
486,100,2,0.5,50,100,100,1.5,27
487,100,2,0.5,50,100,100,1.5,23
483,100,2,0.5,50,100,100,1.5,31
467,100,2,0.5,50,100,100,1.5,33
488,100,2,0.5,50,100,100,1.5,20
494,100,2,0.5,50,100,100,1.5,20
491,100,2,0.5,50,100,100,1.5,25
492,100,2,0.5,50,100,100,1.5,21
490,100,2,0.5,50,100,100,1.5,27
493,100,2,0.5,50,100,100,1.5,26
495,100,2,0.5,50,100,100,1.5,37
500,100,2,0.5,50,100,100,1.5,25
498,100,2,0.5,50,100,100,1.5,27
497,100,2,0.5,50,100,100,1.5,26
506,100,2,1,50,100,100,1.5,18
507,100,2,1,50,100,100,1.5,20
504,100,2,1,50,100,100,1.5,19
489,100,2,0.5,50,100,100,1.5,27
509,100,2,1,50,100,100,1.5,24
499,100,2,0.5,50,100,100,1.5,33
501,100,2,1,50,100,100,1.5,35
505,100,2,1,50,100,100,1.5,25
508,100,2,1,50,100,100,1.5,29
503,100,2,1,50,100,100,1.5,27
511,100,2,1,50,100,100,1.5,25
514,100,2,1,50,100,100,1.5,26
518,100,2,1,50,100,100,1.5,28
521,100,2,1,50,100,100,1.5,21
517,100,2,1,50,100,100,1.5,22
515,100,2,1,50,100,100,1.5,31
510,100,2,1,50,100,100,1.5,51
520,100,2,1,50,100,100,1.5,32
512,100,2,1,50,100,100,1.5,32
522,100,2,1,50,100,100,1.5,23
516,100,2,1,50,100,100,1.5,22
519,100,2,1,50,100,100,1.5,25
524,100,2,1,50,100,100,1.5,25
502,100,2,1,50,100,100,1.5,31
496,100,2,0.5,50,100,100,1.5,23
526,100,2,1,50,100,100,1.5,27
530,100,2,1,50,100,100,1.5,18
529,100,2,1,50,100,100,1.5,22
525,100,2,1,50,100,100,1.5,32
523,100,2,1,50,100,100,1.5,21
527,100,2,1,50,100,100,1.5,26
