[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
223,100,10,0.2,50,100,100,1,30
220,100,10,0.2,50,100,100,1,32
221,100,10,0.2,50,100,100,1,34
219,100,10,0.2,50,100,100,1,44
217,100,10,0.2,50,100,100,1,29
225,100,10,0.2,50,100,100,1,32
226,100,10,0.2,50,100,100,1,29
214,100,10,0.2,50,100,100,1,28
231,100,10,0.2,50,100,100,1,27
232,100,10,0.2,50,100,100,1,27
233,100,10,0.2,50,100,100,1,27
234,100,10,0.2,50,100,100,1,24
228,100,10,0.2,50,100,100,1,28
235,100,10,0.2,50,100,100,1,27
237,100,10,0.2,50,100,100,1,25
218,100,10,0.2,50,100,100,1,25
240,100,10,0.2,50,100,100,1,23
236,100,10,0.2,50,100,100,1,41
230,100,10,0.2,50,100,100,1,36
238,100,10,0.2,50,100,100,1,24
239,100,10,0.2,50,100,100,1,33
229,100,10,0.2,50,100,100,1,37
243,100,10,0.2,50,100,100,1,28
244,100,10,0.2,50,100,100,1,27
242,100,10,0.2,50,100,100,1,27
248,100,10,0.2,50,100,100,1,25
247,100,10,0.2,50,100,100,1,28
245,100,10,0.2,50,100,100,1,35
254,100,10,0.2,50,100,100,1,25
251,100,10,0.2,50,100,100,1,27
250,100,10,0.2,50,100,100,1,30
241,100,10,0.2,50,100,100,1,30
246,100,10,0.2,50,100,100,1,25
259,100,10,0.2,50,100,100,1,23
257,100,10,0.2,50,100,100,1,28
227,100,10,0.2,50,100,100,1,27
256,100,10,0.2,50,100,100,1,28
258,100,10,0.2,50,100,100,1,35
249,100,10,0.2,50,100,100,1,27
253,100,10,0.2,50,100,100,1,31
260,100,10,0.2,50,100,100,1,28
261,100,10,0.2,50,100,100,1,26
252,100,10,0.2,50,100,100,1,37
263,100,10,0.2,50,100,100,1,24
262,100,10,0.2,50,100,100,1,31
264,100,10,0.2,50,100,100,1,33
255,100,10,0.2,50,100,100,1,35
267,100,10,0.2,50,100,100,1,29
266,100,10,0.2,50,100,100,1,22
268,100,10,0.2,50,100,100,1,27
270,100,10,0.2,50,100,100,1,27
271,100,10,0.2,50,100,100,1,25
265,100,10,0.2,50,100,100,1,34
278,100,10,0.2,50,100,100,1,26
275,100,10,0.2,50,100,100,1,26
269,100,10,0.2,50,100,100,1,28
272,100,10,0.2,50,100,100,1,34
277,100,10,0.2,50,100,100,1,30
279,100,10,0.2,50,100,100,1,24
274,100,10,0.2,50,100,100,1,40
281,100,10,0.2,50,100,100,1,26
283,100,10,0.2,50,100,100,1,25
276,100,10,0.2,50,100,100,1,28
284,100,10,0.2,50,100,100,1,28
285,100,10,0.2,50,100,100,1,24
273,100,10,0.2,50,100,100,1,29
280,100,10,0.2,50,100,100,1,30
282,100,10,0.2,50,100,100,1,35
287,100,10,0.2,50,100,100,1,25
291,100,10,0.2,50,100,100,1,20
289,100,10,0.2,50,100,100,1,22
288,100,10,0.2,50,100,100,1,32
286,100,10,0.2,50,100,100,1,24
290,100,10,0.2,50,100,100,1,26
293,100,10,0.2,50,100,100,1,26
292,100,10,0.2,50,100,100,1,34
294,100,10,0.2,50,100,100,1,27
295,100,10,0.2,50,100,100,1,25
299,100,10,0.2,50,100,100,1,24
297,100,10,0.2,50,100,100,1,29
298,100,10,0.2,50,100,100,1,26
296,100,10,0.2,50,100,100,1,33
302,100,10,0.3,50,100,100,1,33
300,100,10,0.2,50,100,100,1,33
303,100,10,0.3,50,100,100,1,33
308,100,10,0.3,50,100,100,1,27
301,100,10,0.3,50,100,100,1,31
