[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
232,100,10,1,1,63,100,100,50
233,100,10,1,1,65,100,100,48
234,100,10,1,1,67,100,100,38
235,100,10,1,1,69,100,100,40
238,100,10,1,1,75,100,100,46
241,100,10,1,1,81,100,100,49
236,100,10,1,1,71,100,100,52
239,100,10,1,1,77,100,100,49
237,100,10,1,1,73,100,100,55
240,100,10,1,1,79,100,100,53
243,100,10,1,1,85,100,100,47
242,100,10,1,1,83,100,100,51
244,100,10,1,1,87,100,100,50
245,100,10,1,1,89,100,100,48
246,100,10,1,1,91,100,100,49
248,100,10,1,1,95,100,100,43
247,100,10,1,1,93,100,100,53
250,100,10,1,1,99,100,100,51
249,100,10,1,1,97,100,100,53
256,100,10,1,1,11,100,20,192
261,100,10,1,1,21,100,20,181
262,100,10,1,1,23,100,20,201
257,100,10,1,1,13,100,20,190
201,100,10,1,1,1,100,100,497
258,100,10,1,1,15,100,20,196
263,100,10,1,1,25,100,20,146
254,100,10,1,1,7,100,20,244
259,100,10,1,1,17,100,20,220
255,100,10,1,1,9,100,20,245
264,100,10,1,1,27,100,20,190
265,100,10,1,1,29,100,20,168
253,100,10,1,1,5,100,20,293
260,100,10,1,1,19,100,20,195
266,100,10,1,1,31,100,20,141
268,100,10,1,1,35,100,20,164
252,100,10,1,1,3,100,20,412
267,100,10,1,1,33,100,20,191
269,100,10,1,1,37,100,20,161
276,100,10,1,1,51,100,20,133
270,100,10,1,1,39,100,20,165
274,100,10,1,1,47,100,20,162
275,100,10,1,1,49,100,20,153
271,100,10,1,1,41,100,20,145
272,100,10,1,1,43,100,20,163
273,100,10,1,1,45,100,20,171
278,100,10,1,1,55,100,20,151
279,100,10,1,1,57,100,20,164
277,100,10,1,1,53,100,20,169
281,100,10,1,1,61,100,20,149
280,100,10,1,1,59,100,20,182
282,100,10,1,1,63,100,20,158
284,100,10,1,1,67,100,20,138
285,100,10,1,1,69,100,20,147
290,100,10,1,1,79,100,20,140
286,100,10,1,1,71,100,20,143
292,100,10,1,1,83,100,20,128
283,100,10,1,1,65,100,20,191
289,100,10,1,1,77,100,20,167
293,100,10,1,1,85,100,20,129
288,100,10,1,1,75,100,20,186
287,100,10,1,1,73,100,20,178
291,100,10,1,1,81,100,20,208
294,100,10,1,1,87,100,20,188
297,100,10,1,1,93,100,20,151
299,100,10,1,1,97,100,20,131
296,100,10,1,1,91,100,20,160
307,100,10,1,1,13,100,40,120
295,100,10,1,1,89,100,20,182
305,100,10,1,1,9,100,40,137
306,100,10,1,1,11,100,40,130
298,100,10,1,1,95,100,20,162
303,100,10,1,1,5,100,40,246
308,100,10,1,1,15,100,40,116
300,100,10,1,1,99,100,20,131
251,100,10,1,1,1,100,20,787
309,100,10,1,1,17,100,40,146
304,100,10,1,1,7,100,40,205
314,100,10,1,1,27,100,40,90
310,100,10,1,1,19,100,40,100
311,100,10,1,1,21,100,40,107
312,100,10,1,1,23,100,40,106
313,100,10,1,1,25,100,40,125
302,100,10,1,1,3,100,40,290
318,100,10,1,1,35,100,40,95
315,100,10,1,1,29,100,40,95
319,100,10,1,1,37,100,40,110
320,100,10,1,1,39,100,40,86
316,100,10,1,1,31,100,40,124
317,100,10,1,1,33,100,40,143
324,100,10,1,1,47,100,40,94
321,100,10,1,1,41,100,40,120
