,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
125,100.0,10.0,1.0,1.0,51.0,100.0,50.0,83.07
126,100.0,10.0,1.0,1.0,53.0,100.0,50.0,83.99
127,100.0,10.0,1.0,1.0,55.0,100.0,50.0,84.08
128,100.0,10.0,1.0,1.0,57.0,100.0,50.0,82.52
129,100.0,10.0,1.0,1.0,59.0,100.0,50.0,82.68
130,100.0,10.0,1.0,1.0,61.0,100.0,50.0,81.68
131,100.0,10.0,1.0,1.0,63.0,100.0,50.0,81.36
132,100.0,10.0,1.0,1.0,65.0,100.0,50.0,82.63
133,100.0,10.0,1.0,1.0,67.0,100.0,50.0,81.78
134,100.0,10.0,1.0,1.0,69.0,100.0,50.0,81.64
135,100.0,10.0,1.0,1.0,71.0,100.0,50.0,80.31
136,100.0,10.0,1.0,1.0,73.0,100.0,50.0,81.37
137,100.0,10.0,1.0,1.0,75.0,100.0,50.0,80.2
138,100.0,10.0,1.0,1.0,77.0,100.0,50.0,80.25
139,100.0,10.0,1.0,1.0,79.0,100.0,50.0,79.48
140,100.0,10.0,1.0,1.0,81.0,100.0,50.0,79.93
141,100.0,10.0,1.0,1.0,83.0,100.0,50.0,78.62
142,100.0,10.0,1.0,1.0,85.0,100.0,50.0,80.84
143,100.0,10.0,1.0,1.0,87.0,100.0,50.0,79.4
144,100.0,10.0,1.0,1.0,89.0,100.0,50.0,79.4
145,100.0,10.0,1.0,1.0,91.0,100.0,50.0,79.56
146,100.0,10.0,1.0,1.0,93.0,100.0,50.0,77.73
147,100.0,10.0,1.0,1.0,95.0,100.0,50.0,78.88
148,100.0,10.0,1.0,1.0,97.0,100.0,50.0,79.14
149,100.0,10.0,1.0,1.0,99.0,100.0,50.0,77.17
150,100.0,15.0,1.0,1.0,7.0,100.0,50.0,203.88
151,100.0,15.0,1.0,1.0,5.0,100.0,50.0,235.77
152,100.0,15.0,1.0,1.0,3.0,100.0,50.0,302.73
153,100.0,15.0,1.0,1.0,1.0,100.0,50.0,579.07
154,100.0,15.0,1.0,1.0,9.0,100.0,50.0,186.56
155,100.0,15.0,1.0,1.0,11.0,100.0,50.0,176.01
156,100.0,15.0,1.0,1.0,13.0,100.0,50.0,172.97
157,100.0,15.0,1.0,1.0,15.0,100.0,50.0,162.08
158,100.0,15.0,1.0,1.0,17.0,100.0,50.0,157.67
159,100.0,15.0,1.0,1.0,19.0,100.0,50.0,152.41
160,100.0,15.0,1.0,1.0,21.0,100.0,50.0,155.74
161,100.0,15.0,1.0,1.0,23.0,100.0,50.0,146.44
162,100.0,15.0,1.0,1.0,25.0,100.0,50.0,146.99
163,100.0,15.0,1.0,1.0,27.0,100.0,50.0,144.18
164,100.0,15.0,1.0,1.0,29.0,100.0,50.0,142.3
165,100.0,15.0,1.0,1.0,31.0,100.0,50.0,141.96
166,100.0,15.0,1.0,1.0,33.0,100.0,50.0,141.87
167,100.0,15.0,1.0,1.0,35.0,100.0,50.0,141.01
168,100.0,15.0,1.0,1.0,37.0,100.0,50.0,141.12
169,100.0,15.0,1.0,1.0,39.0,100.0,50.0,134.8
170,100.0,15.0,1.0,1.0,41.0,100.0,50.0,134.95
171,100.0,15.0,1.0,1.0,43.0,100.0,50.0,137.66
172,100.0,15.0,1.0,1.0,45.0,100.0,50.0,139.22
173,100.0,15.0,1.0,1.0,47.0,100.0,50.0,135.36
174,100.0,15.0,1.0,1.0,49.0,100.0,50.0,135.69
175,100.0,15.0,1.0,1.0,51.0,100.0,50.0,134.24
176,100.0,15.0,1.0,1.0,53.0,100.0,50.0,132.81
177,100.0,15.0,1.0,1.0,55.0,100.0,50.0,134.84
178,100.0,15.0,1.0,1.0,57.0,100.0,50.0,133.26
179,100.0,15.0,1.0,1.0,59.0,100.0,50.0,129.8
180,100.0,15.0,1.0,1.0,61.0,100.0,50.0,129.67
181,100.0,15.0,1.0,1.0,63.0,100.0,50.0,130.64
182,100.0,15.0,1.0,1.0,65.0,100.0,50.0,129.49
183,100.0,15.0,1.0,1.0,67.0,100.0,50.0,130.27
184,100.0,15.0,1.0,1.0,69.0,100.0,50.0,129.74
185,100.0,15.0,1.0,1.0,71.0,100.0,50.0,128.74
186,100.0,15.0,1.0,1.0,73.0,100.0,50.0,129.06
187,100.0,15.0,1.0,1.0,75.0,100.0,50.0,126.98
188,100.0,15.0,1.0,1.0,77.0,100.0,50.0,129.28
189,100.0,15.0,1.0,1.0,79.0,100.0,50.0,128.6
190,100.0,15.0,1.0,1.0,81.0,100.0,50.0,127.36
191,100.0,15.0,1.0,1.0,83.0,100.0,50.0,128.57
192,100.0,15.0,1.0,1.0,85.0,100.0,50.0,128.35
193,100.0,15.0,1.0,1.0,87.0,100.0,50.0,128.78
194,100.0,15.0,1.0,1.0,89.0,100.0,50.0,128.05
195,100.0,15.0,1.0,1.0,91.0,100.0,50.0,127.52
196,100.0,15.0,1.0,1.0,93.0,100.0,50.0,126.75
197,100.0,15.0,1.0,1.0,95.0,100.0,50.0,128.87
198,100.0,15.0,1.0,1.0,97.0,100.0,50.0,124.92
199,100.0,15.0,1.0,1.0,99.0,100.0,50.0,128.87
200,100.0,20.0,1.0,1.0,7.0,100.0,50.0,245.25
201,100.0,20.0,1.0,1.0,5.0,100.0,50.0,270.88
202,100.0,20.0,1.0,1.0,3.0,100.0,50.0,325.36
203,100.0,20.0,1.0,1.0,1.0,100.0,50.0,578.48
204,100.0,20.0,1.0,1.0,9.0,100.0,50.0,232.44
205,100.0,20.0,1.0,1.0,11.0,100.0,50.0,222.11
206,100.0,20.0,1.0,1.0,13.0,100.0,50.0,218.46
207,100.0,20.0,1.0,1.0,15.0,100.0,50.0,207.06
208,100.0,20.0,1.0,1.0,17.0,100.0,50.0,206.67
209,100.0,20.0,1.0,1.0,19.0,100.0,50.0,206.75
210,100.0,20.0,1.0,1.0,21.0,100.0,50.0,200.14
211,100.0,20.0,1.0,1.0,23.0,100.0,50.0,197.08
212,100.0,20.0,1.0,1.0,25.0,100.0,50.0,193.1
213,100.0,20.0,1.0,1.0,27.0,100.0,50.0,194.06
214,100.0,20.0,1.0,1.0,29.0,100.0,50.0,189.61
215,100.0,20.0,1.0,1.0,31.0,100.0,50.0,189.04
216,100.0,20.0,1.0,1.0,33.0,100.0,50.0,190.51
217,100.0,20.0,1.0,1.0,35.0,100.0,50.0,185.47
218,100.0,20.0,1.0,1.0,37.0,100.0,50.0,183.66
219,100.0,20.0,1.0,1.0,39.0,100.0,50.0,185.2
220,100.0,20.0,1.0,1.0,41.0,100.0,50.0,181.8
221,100.0,20.0,1.0,1.0,43.0,100.0,50.0,185.01
222,100.0,20.0,1.0,1.0,45.0,100.0,50.0,183.15
223,100.0,20.0,1.0,1.0,47.0,100.0,50.0,181.76
224,100.0,20.0,1.0,1.0,49.0,100.0,50.0,181.29
225,100.0,20.0,1.0,1.0,51.0,100.0,50.0,180.04
226,100.0,20.0,1.0,1.0,53.0,100.0,50.0,177.07
227,100.0,20.0,1.0,1.0,55.0,100.0,50.0,179.77
228,100.0,20.0,1.0,1.0,57.0,100.0,50.0,179.04
229,100.0,20.0,1.0,1.0,59.0,100.0,50.0,175.74
230,100.0,20.0,1.0,1.0,61.0,100.0,50.0,178.85
231,100.0,20.0,1.0,1.0,63.0,100.0,50.0,174.34
232,100.0,20.0,1.0,1.0,65.0,100.0,50.0,175.85
233,100.0,20.0,1.0,1.0,67.0,100.0,50.0,177.91
234,100.0,20.0,1.0,1.0,69.0,100.0,50.0,176.12
235,100.0,20.0,1.0,1.0,71.0,100.0,50.0,172.82
236,100.0,20.0,1.0,1.0,73.0,100.0,50.0,171.93
237,100.0,20.0,1.0,1.0,75.0,100.0,50.0,175.71
238,100.0,20.0,1.0,1.0,77.0,100.0,50.0,172.55
239,100.0,20.0,1.0,1.0,79.0,100.0,50.0,172.46
240,100.0,20.0,1.0,1.0,81.0,100.0,50.0,173.45
241,100.0,20.0,1.0,1.0,83.0,100.0,50.0,171.69
242,100.0,20.0,1.0,1.0,85.0,100.0,50.0,172.74
243,100.0,20.0,1.0,1.0,87.0,100.0,50.0,171.93
244,100.0,20.0,1.0,1.0,89.0,100.0,50.0,170.65
245,100.0,20.0,1.0,1.0,91.0,100.0,50.0,169.77
246,100.0,20.0,1.0,1.0,93.0,100.0,50.0,172.94
247,100.0,20.0,1.0,1.0,95.0,100.0,50.0,173.27
248,100.0,20.0,1.0,1.0,97.0,100.0,50.0,173.84
249,100.0,20.0,1.0,1.0,99.0,100.0,50.0,170.0
