[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
342,100,10,1,1,83,5,50,103
301,100,10,1,1,1,5,50,642
341,100,10,1,1,81,5,50,130
345,100,10,1,1,89,5,50,121
343,100,10,1,1,85,5,50,123
344,100,10,1,1,87,5,50,131
354,100,10,1,1,7,10,50,137
358,100,10,1,1,15,10,50,107
357,100,10,1,1,13,10,50,104
356,100,10,1,1,11,10,50,161
347,100,10,1,1,93,5,50,116
346,100,10,1,1,91,5,50,122
355,100,10,1,1,9,10,50,131
353,100,10,1,1,5,10,50,195
348,100,10,1,1,95,5,50,112
361,100,10,1,1,21,10,50,82
349,100,10,1,1,97,5,50,119
359,100,10,1,1,17,10,50,101
360,100,10,1,1,19,10,50,110
350,100,10,1,1,99,5,50,113
352,100,10,1,1,3,10,50,295
363,100,10,1,1,25,10,50,97
362,100,10,1,1,23,10,50,107
366,100,10,1,1,31,10,50,103
367,100,10,1,1,33,10,50,89
365,100,10,1,1,29,10,50,97
368,100,10,1,1,35,10,50,106
364,100,10,1,1,27,10,50,110
369,100,10,1,1,37,10,50,95
370,100,10,1,1,39,10,50,114
371,100,10,1,1,41,10,50,107
372,100,10,1,1,43,10,50,100
374,100,10,1,1,47,10,50,81
373,100,10,1,1,45,10,50,102
376,100,10,1,1,51,10,50,101
375,100,10,1,1,49,10,50,107
378,100,10,1,1,55,10,50,79
377,100,10,1,1,53,10,50,87
380,100,10,1,1,59,10,50,85
379,100,10,1,1,57,10,50,94
382,100,10,1,1,63,10,50,80
384,100,10,1,1,67,10,50,92
381,100,10,1,1,61,10,50,115
383,100,10,1,1,65,10,50,105
391,100,10,1,1,81,10,50,82
385,100,10,1,1,69,10,50,111
387,100,10,1,1,73,10,50,94
390,100,10,1,1,79,10,50,76
389,100,10,1,1,77,10,50,96
386,100,10,1,1,71,10,50,109
388,100,10,1,1,75,10,50,102
351,100,10,1,1,1,10,50,534
393,100,10,1,1,85,10,50,90
392,100,10,1,1,83,10,50,104
395,100,10,1,1,89,10,50,87
394,100,10,1,1,87,10,50,91
396,100,10,1,1,91,10,50,94
399,100,10,1,1,97,10,50,83
400,100,10,1,1,99,10,50,80
397,100,10,1,1,93,10,50,103
405,100,10,1,1,9,20,50,132
406,100,10,1,1,11,20,50,123
404,100,10,1,1,7,20,50,139
408,100,10,1,1,15,20,50,95
403,100,10,1,1,5,20,50,159
409,100,10,1,1,17,20,50,104
398,100,10,1,1,95,10,50,98
411,100,10,1,1,21,20,50,92
407,100,10,1,1,13,20,50,163
410,100,10,1,1,19,20,50,126
412,100,10,1,1,23,20,50,79
402,100,10,1,1,3,20,50,234
416,100,10,1,1,31,20,50,78
415,100,10,1,1,29,20,50,80
414,100,10,1,1,27,20,50,93
417,100,10,1,1,33,20,50,85
418,100,10,1,1,35,20,50,85
419,100,10,1,1,37,20,50,97
413,100,10,1,1,25,20,50,93
420,100,10,1,1,39,20,50,101
423,100,10,1,1,45,20,50,74
422,100,10,1,1,43,20,50,88
426,100,10,1,1,51,20,50,72
424,100,10,1,1,47,20,50,87
421,100,10,1,1,41,20,50,88
425,100,10,1,1,49,20,50,99
427,100,10,1,1,53,20,50,76
431,100,10,1,1,61,20,50,66
429,100,10,1,1,57,20,50,77
432,100,10,1,1,63,20,50,78
428,100,10,1,1,55,20,50,84
430,100,10,1,1,59,20,50,97
433,100,10,1,1,65,20,50,87
435,100,10,1,1,69,20,50,82
434,100,10,1,1,67,20,50,83
436,100,10,1,1,71,20,50,91
441,100,10,1,1,81,20,50,72
440,100,10,1,1,79,20,50,78
439,100,10,1,1,77,20,50,82
437,100,10,1,1,73,20,50,82
442,100,10,1,1,83,20,50,78
438,100,10,1,1,75,20,50,94
446,100,10,1,1,91,20,50,72
443,100,10,1,1,85,20,50,91
444,100,10,1,1,87,20,50,89
448,100,10,1,1,95,20,50,77
447,100,10,1,1,93,20,50,87
445,100,10,1,1,89,20,50,87
401,100,10,1,1,1,20,50,588
450,100,10,1,1,99,20,50,82
449,100,10,1,1,97,20,50,98
456,100,10,1,1,11,50,50,131
458,100,10,1,1,15,50,50,81
457,100,10,1,1,13,50,50,116
459,100,10,1,1,17,50,50,118
454,100,10,1,1,7,50,50,198
455,100,10,1,1,9,50,50,185
460,100,10,1,1,19,50,50,117
462,100,10,1,1,23,50,50,101
461,100,10,1,1,21,50,50,102
463,100,10,1,1,25,50,50,110
464,100,10,1,1,27,50,50,88
453,100,10,1,1,5,50,50,219
466,100,10,1,1,31,50,50,115
468,100,10,1,1,35,50,50,77
469,100,10,1,1,37,50,50,80
467,100,10,1,1,33,50,50,90
465,100,10,1,1,29,50,50,131
452,100,10,1,1,3,50,50,306
473,100,10,1,1,45,50,50,72
475,100,10,1,1,49,50,50,71
472,100,10,1,1,43,50,50,79
474,100,10,1,1,47,50,50,99
470,100,10,1,1,39,50,50,118
477,100,10,1,1,53,50,50,77
476,100,10,1,1,51,50,50,85
471,100,10,1,1,41,50,50,115
478,100,10,1,1,55,50,50,79
479,100,10,1,1,57,50,50,103
480,100,10,1,1,59,50,50,74
482,100,10,1,1,63,50,50,85
481,100,10,1,1,61,50,50,70
483,100,10,1,1,65,50,50,95
485,100,10,1,1,69,50,50,84
488,100,10,1,1,75,50,50,70
