,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
224,100.0,10.0,1.0,1.0,79.0,20.0,50.0,82.65
225,100.0,10.0,1.0,1.0,79.0,50.0,50.0,81.11
226,100.0,10.0,1.0,1.0,79.0,100.0,50.0,79.37
227,100.0,10.0,1.0,1.0,79.0,200.0,50.0,80.6
228,100.0,10.0,1.0,1.0,77.0,5.0,50.0,117.2
229,100.0,10.0,1.0,1.0,77.0,10.0,50.0,92.99
230,100.0,10.0,1.0,1.0,77.0,20.0,50.0,79.6
231,100.0,10.0,1.0,1.0,77.0,50.0,50.0,79.31
232,100.0,10.0,1.0,1.0,77.0,100.0,50.0,80.17
233,100.0,10.0,1.0,1.0,77.0,200.0,50.0,79.68
234,100.0,10.0,1.0,1.0,81.0,5.0,50.0,115.43
235,100.0,10.0,1.0,1.0,81.0,10.0,50.0,91.72
236,100.0,10.0,1.0,1.0,81.0,20.0,50.0,81.4
237,100.0,10.0,1.0,1.0,81.0,50.0,50.0,79.14
238,100.0,10.0,1.0,1.0,81.0,100.0,50.0,77.53
239,100.0,10.0,1.0,1.0,81.0,200.0,50.0,81.78
240,100.0,10.0,1.0,1.0,65.0,5.0,50.0,116.72
241,100.0,10.0,1.0,1.0,65.0,10.0,50.0,92.97
242,100.0,10.0,1.0,1.0,65.0,20.0,50.0,83.04
243,100.0,10.0,1.0,1.0,65.0,50.0,50.0,81.01
244,100.0,10.0,1.0,1.0,65.0,100.0,50.0,80.79
245,100.0,10.0,1.0,1.0,65.0,200.0,50.0,81.92
246,100.0,10.0,1.0,1.0,83.0,5.0,50.0,115.66
247,100.0,10.0,1.0,1.0,83.0,10.0,50.0,91.59
248,100.0,10.0,1.0,1.0,83.0,20.0,50.0,80.62
249,100.0,10.0,1.0,1.0,83.0,50.0,50.0,79.48
250,100.0,10.0,1.0,1.0,83.0,100.0,50.0,81.33
251,100.0,10.0,1.0,1.0,83.0,200.0,50.0,79.68
252,100.0,10.0,1.0,1.0,93.0,5.0,50.0,114.15
253,100.0,10.0,1.0,1.0,93.0,10.0,50.0,91.06
254,100.0,10.0,1.0,1.0,93.0,20.0,50.0,80.82
255,100.0,10.0,1.0,1.0,93.0,50.0,50.0,79.63
256,100.0,10.0,1.0,1.0,93.0,100.0,50.0,78.25
257,100.0,10.0,1.0,1.0,93.0,200.0,50.0,78.25
258,100.0,10.0,1.0,1.0,91.0,5.0,50.0,114.51
259,100.0,10.0,1.0,1.0,91.0,10.0,50.0,93.53
260,100.0,10.0,1.0,1.0,91.0,20.0,50.0,81.0
261,100.0,10.0,1.0,1.0,91.0,50.0,50.0,78.84
262,100.0,10.0,1.0,1.0,91.0,100.0,50.0,78.37
263,100.0,10.0,1.0,1.0,91.0,200.0,50.0,78.54
264,100.0,10.0,1.0,1.0,99.0,5.0,50.0,113.18
265,100.0,10.0,1.0,1.0,99.0,10.0,50.0,92.63
266,100.0,10.0,1.0,1.0,99.0,20.0,50.0,80.16
267,100.0,10.0,1.0,1.0,99.0,50.0,50.0,78.52
268,100.0,10.0,1.0,1.0,99.0,100.0,50.0,78.72
269,100.0,10.0,1.0,1.0,99.0,200.0,50.0,78.77
270,100.0,10.0,1.0,1.0,85.0,5.0,50.0,114.1
271,100.0,10.0,1.0,1.0,85.0,10.0,50.0,92.52
272,100.0,10.0,1.0,1.0,85.0,20.0,50.0,80.74
273,100.0,10.0,1.0,1.0,85.0,50.0,50.0,78.56
274,100.0,10.0,1.0,1.0,85.0,100.0,50.0,79.74
275,100.0,10.0,1.0,1.0,85.0,200.0,50.0,79.51
276,100.0,10.0,1.0,1.0,89.0,5.0,50.0,114.34
277,100.0,10.0,1.0,1.0,89.0,10.0,50.0,93.27
278,100.0,10.0,1.0,1.0,89.0,20.0,50.0,81.47
279,100.0,10.0,1.0,1.0,89.0,50.0,50.0,79.77
280,100.0,10.0,1.0,1.0,89.0,100.0,50.0,79.24
281,100.0,10.0,1.0,1.0,89.0,200.0,50.0,79.9
282,100.0,10.0,1.0,1.0,97.0,5.0,50.0,116.15
283,100.0,10.0,1.0,1.0,97.0,10.0,50.0,89.93
284,100.0,10.0,1.0,1.0,97.0,20.0,50.0,80.38
285,100.0,10.0,1.0,1.0,97.0,50.0,50.0,79.28
286,100.0,10.0,1.0,1.0,97.0,100.0,50.0,77.77
287,100.0,10.0,1.0,1.0,97.0,200.0,50.0,78.11
288,100.0,10.0,1.0,1.0,87.0,5.0,50.0,115.79
289,100.0,10.0,1.0,1.0,87.0,10.0,50.0,90.33
290,100.0,10.0,1.0,1.0,87.0,20.0,50.0,82.27
291,100.0,10.0,1.0,1.0,87.0,50.0,50.0,79.8
292,100.0,10.0,1.0,1.0,87.0,100.0,50.0,79.54
293,100.0,10.0,1.0,1.0,87.0,200.0,50.0,80.08
294,100.0,10.0,1.0,1.0,95.0,5.0,50.0,115.36
295,100.0,10.0,1.0,1.0,95.0,10.0,50.0,92.13
296,100.0,10.0,1.0,1.0,95.0,20.0,50.0,81.39
297,100.0,10.0,1.0,1.0,95.0,50.0,50.0,77.22
298,100.0,10.0,1.0,1.0,95.0,100.0,50.0,77.72
299,100.0,10.0,1.0,1.0,95.0,200.0,50.0,78.76
