,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
117,100.0,10.0,1.0,0.3,33.0,100.0,50.0,53.75
118,100.0,10.0,1.0,2.0,33.0,100.0,50.0,493.85
119,100.0,10.0,1.0,1.3000000000000003,35.0,100.0,50.0,133.59
120,100.0,10.0,1.0,1.5999999999999996,35.0,100.0,50.0,224.0
121,100.0,10.0,1.0,0.6,35.0,100.0,50.0,63.72
122,100.0,10.0,1.0,1.0,35.0,100.0,50.0,88.38
123,100.0,10.0,1.0,0.0,35.0,100.0,50.0,45.49
124,100.0,10.0,1.0,0.3,35.0,100.0,50.0,51.78
125,100.0,10.0,1.0,2.0,35.0,100.0,50.0,508.06
126,100.0,10.0,1.0,1.3000000000000003,37.0,100.0,50.0,130.29
127,100.0,10.0,1.0,1.5999999999999996,37.0,100.0,50.0,226.03
128,100.0,10.0,1.0,0.6,37.0,100.0,50.0,58.84
129,100.0,10.0,1.0,1.0,37.0,100.0,50.0,85.56
130,100.0,10.0,1.0,0.0,37.0,100.0,50.0,43.65
131,100.0,10.0,1.0,0.3,37.0,100.0,50.0,50.67
132,100.0,10.0,1.0,2.0,37.0,100.0,50.0,553.38
133,100.0,10.0,1.0,1.3000000000000003,39.0,100.0,50.0,132.17
134,100.0,10.0,1.0,1.5999999999999996,39.0,100.0,50.0,227.66
135,100.0,10.0,1.0,0.6,39.0,100.0,50.0,58.5
136,100.0,10.0,1.0,1.0,39.0,100.0,50.0,89.03
137,100.0,10.0,1.0,0.0,39.0,100.0,50.0,43.08
138,100.0,10.0,1.0,0.3,39.0,100.0,50.0,48.69
139,100.0,10.0,1.0,2.0,39.0,100.0,50.0,616.37
140,100.0,10.0,1.0,1.3000000000000003,41.0,100.0,50.0,135.41
141,100.0,10.0,1.0,1.5999999999999996,41.0,100.0,50.0,241.26
142,100.0,10.0,1.0,0.6,41.0,100.0,50.0,56.75
143,100.0,10.0,1.0,1.0,41.0,100.0,50.0,86.73
144,100.0,10.0,1.0,0.0,41.0,100.0,50.0,41.42
145,100.0,10.0,1.0,0.3,41.0,100.0,50.0,44.76
146,100.0,10.0,1.0,2.0,41.0,100.0,50.0,632.47
147,100.0,10.0,1.0,1.3000000000000003,43.0,100.0,50.0,134.7
148,100.0,10.0,1.0,1.5999999999999996,43.0,100.0,50.0,242.63
149,100.0,10.0,1.0,0.6,43.0,100.0,50.0,55.59
150,100.0,10.0,1.0,1.0,43.0,100.0,50.0,86.49
151,100.0,10.0,1.0,0.0,43.0,100.0,50.0,39.88
152,100.0,10.0,1.0,0.3,43.0,100.0,50.0,44.5
153,100.0,10.0,1.0,2.0,43.0,100.0,50.0,686.37
154,100.0,10.0,1.0,1.3000000000000003,45.0,100.0,50.0,136.77
155,100.0,10.0,1.0,1.5999999999999996,45.0,100.0,50.0,247.93
156,100.0,10.0,1.0,0.6,45.0,100.0,50.0,55.15
157,100.0,10.0,1.0,1.0,45.0,100.0,50.0,85.17
158,100.0,10.0,1.0,0.0,45.0,100.0,50.0,38.06
159,100.0,10.0,1.0,0.3,45.0,100.0,50.0,44.01
160,100.0,10.0,1.0,2.0,45.0,100.0,50.0,756.85
161,100.0,10.0,1.0,1.3000000000000003,47.0,100.0,50.0,137.31
162,100.0,10.0,1.0,1.5999999999999996,47.0,100.0,50.0,256.62
163,100.0,10.0,1.0,0.6,47.0,100.0,50.0,53.65
164,100.0,10.0,1.0,1.0,47.0,100.0,50.0,83.16
165,100.0,10.0,1.0,0.0,47.0,100.0,50.0,36.37
166,100.0,10.0,1.0,0.3,47.0,100.0,50.0,42.44
167,100.0,10.0,1.0,2.0,47.0,100.0,50.0,763.35
168,100.0,10.0,1.0,1.3000000000000003,49.0,100.0,50.0,138.97
169,100.0,10.0,1.0,1.5999999999999996,49.0,100.0,50.0,259.34
170,100.0,10.0,1.0,0.6,49.0,100.0,50.0,53.28
171,100.0,10.0,1.0,1.0,49.0,100.0,50.0,83.71
172,100.0,10.0,1.0,0.0,49.0,100.0,50.0,35.84
173,100.0,10.0,1.0,0.3,49.0,100.0,50.0,41.4
174,100.0,10.0,1.0,2.0,49.0,100.0,50.0,856.34
175,100.0,10.0,1.0,1.3000000000000003,51.0,100.0,50.0,139.55
176,100.0,10.0,1.0,1.5999999999999996,51.0,100.0,50.0,263.42
177,100.0,10.0,1.0,0.6,51.0,100.0,50.0,52.18
178,100.0,10.0,1.0,1.0,51.0,100.0,50.0,81.84
179,100.0,10.0,1.0,0.0,51.0,100.0,50.0,33.86
180,100.0,10.0,1.0,0.3,51.0,100.0,50.0,40.64
181,100.0,10.0,1.0,2.0,51.0,100.0,50.0,912.88
182,100.0,10.0,1.0,1.3000000000000003,53.0,100.0,50.0,141.13
183,100.0,10.0,1.0,1.5999999999999996,53.0,100.0,50.0,263.18
184,100.0,10.0,1.0,0.6,53.0,100.0,50.0,50.12
185,100.0,10.0,1.0,1.0,53.0,100.0,50.0,84.56
186,100.0,10.0,1.0,0.0,53.0,100.0,50.0,34.28
187,100.0,10.0,1.0,0.3,53.0,100.0,50.0,39.76
188,100.0,10.0,1.0,2.0,53.0,100.0,50.0,931.82
189,100.0,10.0,1.0,1.3000000000000003,55.0,100.0,50.0,143.87
190,100.0,10.0,1.0,1.5999999999999996,55.0,100.0,50.0,277.02
191,100.0,10.0,1.0,0.6,55.0,100.0,50.0,50.24
192,100.0,10.0,1.0,1.0,55.0,100.0,50.0,81.1
193,100.0,10.0,1.0,0.0,55.0,100.0,50.0,32.13
194,100.0,10.0,1.0,0.3,55.0,100.0,50.0,39.51
195,100.0,10.0,1.0,2.0,55.0,100.0,50.0,986.41
196,100.0,10.0,1.0,1.3000000000000003,57.0,100.0,50.0,142.97
197,100.0,10.0,1.0,1.5999999999999996,57.0,100.0,50.0,274.21
198,100.0,10.0,1.0,0.6,57.0,100.0,50.0,47.82
199,100.0,10.0,1.0,1.0,57.0,100.0,50.0,80.63
200,100.0,10.0,1.0,0.0,57.0,100.0,50.0,32.12
201,100.0,10.0,1.0,0.3,57.0,100.0,50.0,37.62
202,100.0,10.0,1.0,2.0,57.0,100.0,50.0,1094.16
203,100.0,10.0,1.0,1.3000000000000003,59.0,100.0,50.0,140.95
204,100.0,10.0,1.0,1.5999999999999996,59.0,100.0,50.0,278.46
205,100.0,10.0,1.0,0.6,59.0,100.0,50.0,48.94
206,100.0,10.0,1.0,1.0,59.0,100.0,50.0,81.17
207,100.0,10.0,1.0,0.0,59.0,100.0,50.0,31.15
208,100.0,10.0,1.0,0.3,59.0,100.0,50.0,36.2
209,100.0,10.0,1.0,2.0,59.0,100.0,50.0,1047.85
210,100.0,10.0,1.0,1.3000000000000003,61.0,100.0,50.0,145.42
211,100.0,10.0,1.0,1.5999999999999996,61.0,100.0,50.0,288.66
212,100.0,10.0,1.0,0.6,61.0,100.0,50.0,47.45
213,100.0,10.0,1.0,1.0,61.0,100.0,50.0,83.73
214,100.0,10.0,1.0,0.0,61.0,100.0,50.0,30.1
215,100.0,10.0,1.0,0.3,61.0,100.0,50.0,36.0
216,100.0,10.0,1.0,2.0,61.0,100.0,50.0,1110.2
217,100.0,10.0,1.0,1.3000000000000003,63.0,100.0,50.0,147.99
218,100.0,10.0,1.0,1.5999999999999996,63.0,100.0,50.0,298.15
219,100.0,10.0,1.0,0.6,63.0,100.0,50.0,47.9
220,100.0,10.0,1.0,1.0,63.0,100.0,50.0,80.85
221,100.0,10.0,1.0,0.0,63.0,100.0,50.0,29.66
222,100.0,10.0,1.0,0.3,63.0,100.0,50.0,36.19
223,100.0,10.0,1.0,2.0,63.0,100.0,50.0,1253.74
224,100.0,10.0,1.0,1.3000000000000003,65.0,100.0,50.0,145.86
225,100.0,10.0,1.0,1.5999999999999996,65.0,100.0,50.0,290.94
226,100.0,10.0,1.0,0.6,65.0,100.0,50.0,46.2
227,100.0,10.0,1.0,1.0,65.0,100.0,50.0,81.91
228,100.0,10.0,1.0,0.0,65.0,100.0,50.0,28.22
229,100.0,10.0,1.0,0.3,65.0,100.0,50.0,35.17
230,100.0,10.0,1.0,2.0,65.0,100.0,50.0,1186.13
231,100.0,10.0,1.0,1.3000000000000003,67.0,100.0,50.0,146.28
232,100.0,10.0,1.0,1.5999999999999996,67.0,100.0,50.0,300.68
233,100.0,10.0,1.0,0.6,67.0,100.0,50.0,46.12
234,100.0,10.0,1.0,1.0,67.0,100.0,50.0,82.05
235,100.0,10.0,1.0,0.0,67.0,100.0,50.0,29.22
236,100.0,10.0,1.0,0.3,67.0,100.0,50.0,33.74
237,100.0,10.0,1.0,2.0,67.0,100.0,50.0,1236.32
238,100.0,10.0,1.0,1.3000000000000003,69.0,100.0,50.0,144.82
239,100.0,10.0,1.0,1.5999999999999996,69.0,100.0,50.0,312.67
240,100.0,10.0,1.0,0.6,69.0,100.0,50.0,44.17
241,100.0,10.0,1.0,1.0,69.0,100.0,50.0,79.52
242,100.0,10.0,1.0,0.0,69.0,100.0,50.0,27.84
243,100.0,10.0,1.0,0.3,69.0,100.0,50.0,33.38
244,100.0,10.0,1.0,2.0,69.0,100.0,50.0,1413.41
245,100.0,10.0,1.0,1.3000000000000003,71.0,100.0,50.0,150.5
246,100.0,10.0,1.0,1.5999999999999996,71.0,100.0,50.0,315.22
247,100.0,10.0,1.0,0.6,71.0,100.0,50.0,44.35
248,100.0,10.0,1.0,1.0,71.0,100.0,50.0,79.59
249,100.0,10.0,1.0,0.0,71.0,100.0,50.0,26.97
250,100.0,10.0,1.0,0.3,71.0,100.0,50.0,32.22
251,100.0,10.0,1.0,2.0,71.0,100.0,50.0,1402.66
252,100.0,10.0,1.0,1.3000000000000003,73.0,100.0,50.0,150.73
253,100.0,10.0,1.0,1.5999999999999996,73.0,100.0,50.0,319.97
254,100.0,10.0,1.0,0.6,73.0,100.0,50.0,43.99
255,100.0,10.0,1.0,1.0,73.0,100.0,50.0,80.71
256,100.0,10.0,1.0,0.0,73.0,100.0,50.0,26.8
257,100.0,10.0,1.0,0.3,73.0,100.0,50.0,32.38
258,100.0,10.0,1.0,2.0,73.0,100.0,50.0,1420.96
259,100.0,10.0,1.0,1.3000000000000003,75.0,100.0,50.0,152.52
260,100.0,10.0,1.0,1.5999999999999996,75.0,100.0,50.0,319.53
261,100.0,10.0,1.0,0.6,75.0,100.0,50.0,43.78
262,100.0,10.0,1.0,1.0,75.0,100.0,50.0,79.44
263,100.0,10.0,1.0,0.0,75.0,100.0,50.0,25.55
264,100.0,10.0,1.0,0.3,75.0,100.0,50.0,31.35
265,100.0,10.0,1.0,2.0,75.0,100.0,50.0,1492.82
266,100.0,10.0,1.0,1.3000000000000003,77.0,100.0,50.0,151.61
267,100.0,10.0,1.0,1.5999999999999996,77.0,100.0,50.0,332.01
268,100.0,10.0,1.0,0.6,77.0,100.0,50.0,42.59
269,100.0,10.0,1.0,1.0,77.0,100.0,50.0,82.21
270,100.0,10.0,1.0,0.0,77.0,100.0,50.0,25.54
271,100.0,10.0,1.0,0.3,77.0,100.0,50.0,30.75
272,100.0,10.0,1.0,2.0,77.0,100.0,50.0,1518.51
273,100.0,10.0,1.0,1.3000000000000003,79.0,100.0,50.0,153.18
274,100.0,10.0,1.0,1.5999999999999996,79.0,100.0,50.0,327.76
275,100.0,10.0,1.0,0.6,79.0,100.0,50.0,41.46
276,100.0,10.0,1.0,1.0,79.0,100.0,50.0,79.71
277,100.0,10.0,1.0,0.0,79.0,100.0,50.0,24.81
278,100.0,10.0,1.0,0.3,79.0,100.0,50.0,30.83
279,100.0,10.0,1.0,2.0,79.0,100.0,50.0,1552.68
280,100.0,10.0,1.0,1.3000000000000003,81.0,100.0,50.0,151.12
281,100.0,10.0,1.0,1.5999999999999996,81.0,100.0,50.0,337.09
282,100.0,10.0,1.0,0.6,81.0,100.0,50.0,42.08
283,100.0,10.0,1.0,1.0,81.0,100.0,50.0,79.52
284,100.0,10.0,1.0,0.0,81.0,100.0,50.0,24.65
285,100.0,10.0,1.0,0.3,81.0,100.0,50.0,30.73
286,100.0,10.0,1.0,2.0,81.0,100.0,50.0,1557.36
287,100.0,10.0,1.0,1.3000000000000003,83.0,100.0,50.0,154.16
288,100.0,10.0,1.0,1.5999999999999996,83.0,100.0,50.0,351.96
289,100.0,10.0,1.0,0.6,83.0,100.0,50.0,41.8
290,100.0,10.0,1.0,1.0,83.0,100.0,50.0,79.58
291,100.0,10.0,1.0,0.0,83.0,100.0,50.0,24.62
292,100.0,10.0,1.0,0.3,83.0,100.0,50.0,30.67
293,100.0,10.0,1.0,2.0,83.0,100.0,50.0,1703.74
294,100.0,10.0,1.0,1.3000000000000003,85.0,100.0,50.0,156.79
295,100.0,10.0,1.0,1.5999999999999996,85.0,100.0,50.0,345.86
296,100.0,10.0,1.0,0.6,85.0,100.0,50.0,41.93
297,100.0,10.0,1.0,1.0,85.0,100.0,50.0,79.05
298,100.0,10.0,1.0,0.0,85.0,100.0,50.0,24.07
299,100.0,10.0,1.0,0.3,85.0,100.0,50.0,29.63
300,100.0,10.0,1.0,2.0,85.0,100.0,50.0,1738.96
301,100.0,10.0,1.0,1.3000000000000003,87.0,100.0,50.0,154.47
302,100.0,10.0,1.0,1.5999999999999996,87.0,100.0,50.0,352.35
303,100.0,10.0,1.0,0.6,87.0,100.0,50.0,40.26
304,100.0,10.0,1.0,1.0,87.0,100.0,50.0,79.8
305,100.0,10.0,1.0,0.0,87.0,100.0,50.0,23.25
306,100.0,10.0,1.0,0.3,87.0,100.0,50.0,28.97
307,100.0,10.0,1.0,2.0,87.0,100.0,50.0,1722.05
308,100.0,10.0,1.0,1.3000000000000003,89.0,100.0,50.0,156.41
309,100.0,10.0,1.0,1.5999999999999996,89.0,100.0,50.0,348.21
310,100.0,10.0,1.0,0.6,89.0,100.0,50.0,40.27
311,100.0,10.0,1.0,1.0,89.0,100.0,50.0,78.55
312,100.0,10.0,1.0,0.0,89.0,100.0,50.0,22.52
313,100.0,10.0,1.0,0.3,89.0,100.0,50.0,27.93
314,100.0,10.0,1.0,2.0,89.0,100.0,50.0,1723.8
315,100.0,10.0,1.0,1.3000000000000003,91.0,100.0,50.0,159.41
316,100.0,10.0,1.0,1.5999999999999996,91.0,100.0,50.0,361.35
317,100.0,10.0,1.0,0.6,91.0,100.0,50.0,39.29
318,100.0,10.0,1.0,1.0,91.0,100.0,50.0,78.37
319,100.0,10.0,1.0,0.0,91.0,100.0,50.0,22.87
320,100.0,10.0,1.0,0.3,91.0,100.0,50.0,28.73
321,100.0,10.0,1.0,2.0,91.0,100.0,50.0,1810.34
322,100.0,10.0,1.0,1.3000000000000003,93.0,100.0,50.0,162.09
323,100.0,10.0,1.0,1.5999999999999996,93.0,100.0,50.0,361.49
324,100.0,10.0,1.0,0.6,93.0,100.0,50.0,40.01
325,100.0,10.0,1.0,1.0,93.0,100.0,50.0,79.07
