,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
105,100.0,10.0,0.3,1.0,31.0,100.0,50.0,58.03
106,100.0,10.0,0.0,1.0,31.0,100.0,50.0,38.86
107,100.0,10.0,1.3000000000000003,1.0,31.0,100.0,50.0,106.82
108,100.0,10.0,1.0,1.0,31.0,100.0,50.0,92.43
109,100.0,10.0,0.6,1.0,31.0,100.0,50.0,71.47
110,100.0,10.0,1.5999999999999996,1.0,31.0,100.0,50.0,122.38
111,100.0,10.0,2.0,1.0,31.0,100.0,50.0,142.15
112,100.0,10.0,0.3,1.0,33.0,100.0,50.0,55.25
113,100.0,10.0,0.0,1.0,33.0,100.0,50.0,38.98
114,100.0,10.0,1.3000000000000003,1.0,33.0,100.0,50.0,107.6
115,100.0,10.0,1.0,1.0,33.0,100.0,50.0,90.27
116,100.0,10.0,0.6,1.0,33.0,100.0,50.0,70.72
117,100.0,10.0,1.5999999999999996,1.0,33.0,100.0,50.0,118.03
118,100.0,10.0,2.0,1.0,33.0,100.0,50.0,142.03
119,100.0,10.0,0.3,1.0,35.0,100.0,50.0,53.49
120,100.0,10.0,0.0,1.0,35.0,100.0,50.0,36.13
121,100.0,10.0,1.3000000000000003,1.0,35.0,100.0,50.0,103.06
122,100.0,10.0,1.0,1.0,35.0,100.0,50.0,89.93
123,100.0,10.0,0.6,1.0,35.0,100.0,50.0,70.32
124,100.0,10.0,1.5999999999999996,1.0,35.0,100.0,50.0,118.94
125,100.0,10.0,2.0,1.0,35.0,100.0,50.0,136.94
126,100.0,10.0,0.3,1.0,37.0,100.0,50.0,51.75
127,100.0,10.0,0.0,1.0,37.0,100.0,50.0,34.09
128,100.0,10.0,1.3000000000000003,1.0,37.0,100.0,50.0,103.35
129,100.0,10.0,1.0,1.0,37.0,100.0,50.0,87.96
130,100.0,10.0,0.6,1.0,37.0,100.0,50.0,68.19
131,100.0,10.0,1.5999999999999996,1.0,37.0,100.0,50.0,119.23
132,100.0,10.0,2.0,1.0,37.0,100.0,50.0,134.76
133,100.0,10.0,0.3,1.0,39.0,100.0,50.0,50.49
134,100.0,10.0,0.0,1.0,39.0,100.0,50.0,34.58
135,100.0,10.0,1.3000000000000003,1.0,39.0,100.0,50.0,102.25
136,100.0,10.0,1.0,1.0,39.0,100.0,50.0,85.46
137,100.0,10.0,0.6,1.0,39.0,100.0,50.0,66.64
138,100.0,10.0,1.5999999999999996,1.0,39.0,100.0,50.0,118.94
139,100.0,10.0,2.0,1.0,39.0,100.0,50.0,135.97
140,100.0,10.0,0.3,1.0,41.0,100.0,50.0,48.87
141,100.0,10.0,0.0,1.0,41.0,100.0,50.0,31.39
142,100.0,10.0,1.3000000000000003,1.0,41.0,100.0,50.0,103.14
143,100.0,10.0,1.0,1.0,41.0,100.0,50.0,86.33
144,100.0,10.0,0.6,1.0,41.0,100.0,50.0,65.13
145,100.0,10.0,1.5999999999999996,1.0,41.0,100.0,50.0,118.47
146,100.0,10.0,2.0,1.0,41.0,100.0,50.0,132.82
147,100.0,10.0,0.3,1.0,43.0,100.0,50.0,48.1
148,100.0,10.0,0.0,1.0,43.0,100.0,50.0,30.97
149,100.0,10.0,1.3000000000000003,1.0,43.0,100.0,50.0,104.29
150,100.0,10.0,1.0,1.0,43.0,100.0,50.0,85.11
151,100.0,10.0,0.6,1.0,43.0,100.0,50.0,64.87
152,100.0,10.0,1.5999999999999996,1.0,43.0,100.0,50.0,116.6
153,100.0,10.0,2.0,1.0,43.0,100.0,50.0,134.52
154,100.0,10.0,0.3,1.0,45.0,100.0,50.0,47.1
155,100.0,10.0,0.0,1.0,45.0,100.0,50.0,29.79
156,100.0,10.0,1.3000000000000003,1.0,45.0,100.0,50.0,99.26
157,100.0,10.0,1.0,1.0,45.0,100.0,50.0,84.28
158,100.0,10.0,0.6,1.0,45.0,100.0,50.0,64.43
159,100.0,10.0,1.5999999999999996,1.0,45.0,100.0,50.0,114.97
160,100.0,10.0,2.0,1.0,45.0,100.0,50.0,134.61
161,100.0,10.0,0.3,1.0,47.0,100.0,50.0,46.24
162,100.0,10.0,0.0,1.0,47.0,100.0,50.0,28.6
163,100.0,10.0,1.3000000000000003,1.0,47.0,100.0,50.0,100.82
164,100.0,10.0,1.0,1.0,47.0,100.0,50.0,85.42
165,100.0,10.0,0.6,1.0,47.0,100.0,50.0,63.05
166,100.0,10.0,1.5999999999999996,1.0,47.0,100.0,50.0,118.68
167,100.0,10.0,2.0,1.0,47.0,100.0,50.0,134.62
168,100.0,10.0,0.3,1.0,49.0,100.0,50.0,47.52
